valley_name,day,ONA_TWS,ONA_HS,ONA_GS,GS_OFA,FPH,annual_total_flow,annual_regulated_flow
Macquarie,14/10/1890,44.246,39.498,96,0,0,7748.4,6358.5
Macquarie,15/10/1890,44.247,36.904,565.2,0,0,7641.4,6332.4
Macquarie,16/10/1890,44.246,33.099,699.75,0,0,7593.4,6364.5
Macquarie,17/10/1890,44.247,36.986,1112.1,0,0,7584,6571.6
Macquarie,18/10/1890,44.246,37.058,1116.4,0,0,8223.9,6571.6
Macquarie,19/10/1890,44.247,37.092,1010.3,0,0,8586.2,6572
Macquarie,20/10/1890,44.246,31.305,987.29,0,0,8213.7,6572.8
Macquarie,21/10/1890,44.247,21,983.16,0,0,7947.1,6572.9
Macquarie,22/10/1890,44.246,27.399,1092.5,0,0,8061.4,6562.3
Macquarie,23/10/1890,44.247,28.104,1093.3,0,0,10526,6361
Macquarie,24/10/1890,44.246,28.904,1105.3,0,0,38096,6411.6
Macquarie,25/10/1890,44.247,27.004,1098.3,0,0,36382,6621.8
Macquarie,26/10/1890,44.246,35.211,1100,0,0,17195,6585.7
Macquarie,27/10/1890,44.247,36.87,1103.3,0,0,14148,6210.5
Macquarie,28/10/1890,44.246,35.12,984.78,0,0,12481,6213
Macquarie,29/10/1890,44.247,37.058,1039.2,0,0,11166,6214.8
Macquarie,30/10/1890,44.246,37.092,1138.4,0,0,9018.4,6118.2
Macquarie,31/10/1890,44.247,37.092,1141.7,0,0,5143.6,1033.2
Macquarie,01/11/1890,44.597,51.543,837.54,0,0,4417.1,983.82
Macquarie,02/11/1890,44.596,49.586,838.5,0,0,4785.9,1272.1
Macquarie,03/11/1890,44.597,45.738,831.46,0,0,6286.7,3664.4
Macquarie,04/11/1890,44.596,45.2,835.69,0,0,6877.8,4258.7
Macquarie,05/11/1890,44.597,45.2,786.38,0,0,7560.3,5337
Macquarie,06/11/1890,44.596,45.2,721.94,0,0,7700,5729.4
Macquarie,07/11/1890,44.597,40.33,607.06,0,0,7653.7,5812.2
Macquarie,08/11/1890,44.596,44.33,610.9,0,0,6832.2,5833.5
Macquarie,09/11/1890,44.597,43.608,610.32,0,0,4665.5,3179.8
Macquarie,10/11/1890,44.596,44.592,610.84,0,0,3944.8,2359.8
Macquarie,11/11/1890,44.597,44.42,723.12,0,0,3852.9,2398.2
Macquarie,12/11/1890,44.596,44.29,766.69,0,0,3822.7,2440.7
Macquarie,13/11/1890,44.597,38.845,761.1,0,0,3780.5,2467.5
Macquarie,14/11/1890,44.596,17.123,526.55,0,0,3742.5,2467.5
Macquarie,15/11/1890,44.597,32.58,526.66,0,0,3717.1,2460.8
Macquarie,16/11/1890,44.596,39.351,526.66,0,0,3584.9,2456.9
Macquarie,17/11/1890,44.597,44.284,526.66,0,0,3443.8,2213.5
Macquarie,18/11/1890,44.596,44.284,664.65,0,0,3540.1,2374.8
Macquarie,19/11/1890,44.597,41.59,740.59,0,0,3570.8,2465.1
Macquarie,20/11/1890,44.596,39.201,734.66,0,0,3538.6,2479.2
Macquarie,21/11/1890,44.597,39.341,756.5,0,0,3554.7,2468.6
Macquarie,22/11/1890,44.596,39.34,800.42,0,0,3708.1,2755.5
Macquarie,23/11/1890,44.597,44.284,806.05,0,0,3712.6,2755.5
Macquarie,24/11/1890,44.596,44.284,841.39,0,0,3718,2759.8
Macquarie,25/11/1890,44.597,32.447,652.87,0,0,3874.4,2887.6
Macquarie,26/11/1890,44.596,39.856,801.55,0,0,4178.8,3333.8
Macquarie,27/11/1890,44.597,44.284,813.61,0,0,4357.9,3565.1
Macquarie,28/11/1890,44.596,44.284,848.39,0,0,4507,3781.3
Macquarie,29/11/1890,44.597,44.284,853.36,0,0,4140.5,4064.8
Macquarie,30/11/1890,44.596,44.284,855.02,0,0,4099.1,4004.8
Macquarie,01/12/1890,197.16,54.117,2053.1,0,0,4335.4,4362.9
Macquarie,02/12/1890,197.49,54.117,2069.1,0,0,4447.4,4362.9
Macquarie,03/12/1890,197.49,48.825,2047.9,0,0,4704.3,4669.2
Macquarie,04/12/1890,197.49,54.117,2277.5,0,0,4823.8,4802.2
Macquarie,05/12/1890,197.49,54.117,2448.1,0,0,4867.8,4860.2
Macquarie,06/12/1890,197.49,52.904,2624.9,0,0,4867.6,4860.2
Macquarie,07/12/1890,197.49,47.255,1586.9,0,0,4692.6,4860.2
Macquarie,08/12/1890,197.49,41.457,1642.9,0,0,4176.7,4065.5
Macquarie,09/12/1890,255.49,54.117,2726.4,0,0,4272.5,4224.4
Macquarie,10/12/1890,255.49,54.117,2737.2,0,0,4243.8,4227.6
Macquarie,11/12/1890,255.49,54.117,2858.9,0,0,4250,4233.1
Macquarie,12/12/1890,296.49,54.117,2980.8,0,0,4306.1,4258.1
Macquarie,13/12/1890,296.49,54.117,3121.3,0,0,4421.7,4415.5
Macquarie,14/12/1890,296.49,54.117,3143.7,0,0,4527.8,4440.3
Macquarie,15/12/1890,296.49,54.116,3380.7,0,0,4776.8,4752.8
Macquarie,16/12/1890,296.49,54.117,3444.8,0,0,4982.6,4877.8
Macquarie,17/12/1890,296.49,54.116,3652.9,0,0,5281.3,5286.7
Macquarie,18/12/1890,296.49,54.117,3769.7,0,0,5315,5301.7
Macquarie,19/12/1890,296.49,54.117,3769.7,0,0,5312,5301.7
Macquarie,20/12/1890,296.49,54.116,3805.4,0,0,5313.3,5301.7
Macquarie,21/12/1890,296.49,53.217,3908.1,0,0,5315.7,5301.7
Macquarie,22/12/1890,296.49,15.774,772.05,0,0,5366.6,5301.7
Macquarie,23/12/1890,296.49,15.257,1367.5,0,0,5435.8,5293
Macquarie,24/12/1890,296.49,44.193,2580.1,0,0,5427.6,5287.6
Macquarie,25/12/1890,296.49,49.023,3825.7,0,0,5422.8,5395.2
Macquarie,26/12/1890,296.49,54.117,3856.2,0,0,5506.7,5431.7
Macquarie,27/12/1890,296.49,54.117,3903.5,0,0,5776.8,5738.9
Macquarie,28/12/1890,296.49,54.117,3933.4,0,0,5892.1,5889.5
Macquarie,29/12/1890,296.49,42.387,3282.9,0,0,5942.7,5889.5
Macquarie,30/12/1890,296.49,41.767,2967.3,0,0,6090.8,6034.6
Macquarie,31/12/1890,296.49,54.117,3926.3,0,0,6286.3,6107.5
Macquarie,01/01/1891,305.54,47.364,5336.1,0,0,6606.5,6615.5
Macquarie,02/01/1891,305.56,47.365,5336.2,0,0,6637.3,6621
Macquarie,03/01/1891,305.56,47.364,5336.2,0,0,6641.4,6626
Macquarie,04/01/1891,305.56,42.839,5092.8,0,0,6628.2,6626
Macquarie,05/01/1891,305.56,41.629,4747.9,0,0,6583,6568
Macquarie,06/01/1891,305.56,1.1823,895.82,0,0,7282.3,6568
Macquarie,07/01/1891,305.56,12.723,1138.4,0,0,8180.5,6290.7
Macquarie,08/01/1891,305.56,37.576,3732,0,0,6443.2,6295.1
Macquarie,09/01/1891,247.56,42.84,5084.3,0,0,5241.9,6300.6
Macquarie,10/01/1891,247.56,42.964,4970.6,0,0,6091.9,6300.6
Macquarie,11/01/1891,247.56,29.524,4603.9,0,0,6179.3,6300.6
Macquarie,12/01/1891,206.56,19.379,3833.2,0,0,6200.8,6295.2
Macquarie,13/01/1891,206.56,22.67,4497.1,0,0,6209.4,6300.6
Macquarie,14/01/1891,206.56,31.929,2226.1,0,0,6237.8,6295.2
Macquarie,15/01/1891,206.56,36.583,3394.9,0,0,6269.9,6300.6
Macquarie,16/01/1891,76.559,19.849,1890,0,0,6236.8,6295.2
Macquarie,17/01/1891,76.558,0.1478,211.48,0,0,6970.2,6300.6
