Basin_name,Category,AL,WaterType,purpose_des,WSP,WS,ShareComponent,Purpose,Long,Lat
Macquarie,AQUIFER,80AL722781,GW,MAKE UP ALLOCATION,AQUIFER,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,50,Z2,149.494104,-31.994305
Macquarie,AQUIFER,80AL722938,GW,MAKE UP ALLOCATION,AQUIFER,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,20,Z2,148.600068,-32.213715
Macquarie,AQUIFER,80AL723384,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,18,Z1,149.898243,-31.933751
Macquarie,AQUIFER,80AL723388,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,42,Z2,146.91783,-30.001794
Macquarie,AQUIFER,80AL723390,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,10,Z2,150.024499,-33.243157
Macquarie,AQUIFER,80AL723392,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,25,Z2,149.730742,-32.035781
Macquarie,AQUIFER,80AL723396,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,50,Z2,149.802957,-32.919605
Macquarie,AQUIFER,80AL723434,GW,IRRIGATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,40,I,149.086735,-33.275663
Macquarie,AQUIFER [HIGH SECURITY],80AL723440,GW,MAKE UP ALLOCATION,AQUIFER [HIGH SECURITY],MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,34,Z2,149.5950553,-32.5853739
Macquarie,AQUIFER,80AL723473,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,30,Z2,149.4149804,-33.0430779
Macquarie,AQUIFER,85AL751977,GW,DOMESTIC,AQUIFER,NSW GREAT ARTESIAN BASIN SHALLOW GROUNDWATER SOURCES 2011,50,J,147.160912,-31.109279
Macquarie,AQUIFER,80AL703355,GW,DOMESTIC,AQUIFER,LOWER MACQUARIE GROUNDWATER SOURCES 2003,405,J,148.2860885,-32.29257099
Macquarie,AQUIFER,80AL708549,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,129,Z1,149.0751805,-33.33244058
Macquarie,AQUIFER,80AL708609,GW,IRRIGATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,3,I,149.0944644,-33.24592902
Macquarie,AQUIFER,80AL715046,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,68,Z1,149.1122159,-32.78202365
Macquarie,AQUIFER,80AL715124,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,212,Z1,149.4931669,-32.56943369
Macquarie,AQUIFER,80AL715134,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,356,Z1,148.2878216,-32.23409284
Macquarie,AQUIFER,80AL715138,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,30,Z1,149.6532945,-32.54055223
Macquarie,AQUIFER,80AL715168,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,40,Z1,149.4199886,-33.03124972
Macquarie,LOCAL WATER UTILITY,80AL715358,GW,RECREATION (GROUNDWATER),LOCAL WATER UTILITY,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,280,Y,149.1119643,-33.27297415
Macquarie,AQUIFER,80AL715493,GW,DOMESTIC,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,90,J,149.3894373,-32.23820898
